<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.02	06:00:00	108.705	108.742	108.697	108.740	516	0	4
2020.01.02	07:00:00	108.740	108.755	108.730	108.740	616	0	3
2020.01.02	08:00:00	108.740	108.747	108.712	108.712	489	0	3
2020.01.02	09:00:00	108.709	108.798	108.692	108.784	1616	0	3
2020.01.02	10:00:00	108.784	108.815	108.764	108.778	1943	0	3
2020.01.02	11:00:00	108.778	108.842	108.773	108.837	1493	0	4
2020.01.02	12:00:00	108.837	108.864	108.790	108.806	1231	0	3
2020.01.02	13:00:00	108.805	108.811	108.768	108.771	1196	0	3
2020.01.02	14:00:00	108.771	108.805	108.754	108.785	909	0	3
2020.01.02	15:00:00	108.786	108.787	108.655	108.691	1468	0	3
2020.01.02	16:00:00	108.691	108.748	108.635	108.672	2002	0	3
2020.01.02	17:00:00	108.672	108.679	108.210	108.270	3451	0	3
2020.01.02	18:00:00	108.270	108.441	108.258	108.431	2063	0	3
2020.01.02	19:00:00	108.432	108.551	108.429	108.525	1619	0	3
2020.01.02	20:00:00	108.525	108.557	108.496	108.520	1243	0	3
2020.01.02	21:00:00	108.520	108.569	108.509	108.545	1319	0	3
2020.01.02	22:00:00	108.545	108.558	108.490	108.554	1007	0	3
2020.01.02	23:00:00	108.554	108.566	108.525	108.566	460	0	3
2020.01.03	00:00:00	108.555	108.566	108.494	108.532	605	0	4
2020.01.03	01:00:00	108.542	108.627	108.532	108.542	739	0	3
2020.01.03	02:00:00	108.542	108.561	108.390	108.404	1183	0	3
2020.01.03	03:00:00	108.404	108.440	108.163	108.201	2035	0	3
2020.01.03	04:00:00	108.201	108.240	107.998	108.059	3889	0	3
2020.01.03	05:00:00	108.059	108.183	108.004	108.180	2307	0	3
2020.01.03	06:00:00	108.180	108.230	108.124	108.131	1758	0	3
2020.01.03	07:00:00	108.131	108.162	108.078	108.121	1917	0	3
2020.01.03	08:00:00	108.121	108.151	108.077	108.139	1098	0	3
2020.01.03	09:00:00	108.139	108.140	107.914	107.946	3171	0	3
2020.01.03	10:00:00	107.944	108.071	107.928	107.991	3530	0	3
2020.01.03	11:00:00	107.991	108.067	107.919	108.066	3048	0	3
2020.01.03	12:00:00	108.066	108.128	108.014	108.049	3270	0	3
2020.01.03	13:00:00	108.049	108.114	107.995	108.026	2595	0	3
2020.01.03	14:00:00	108.026	108.153	108.021	108.082	2194	0	3
2020.01.03	15:00:00	108.082	108.160	108.082	108.156	2306	0	3
2020.01.03	16:00:00	108.156	108.265	108.142	108.220	2996	0	3
2020.01.03	17:00:00	108.220	108.220	107.995	108.037	4495	0	3
2020.01.03	18:00:00	108.037	108.038	107.915	107.944	2447	0	3
2020.01.03	19:00:00	107.944	107.986	107.931	107.966	1525	0	3
2020.01.03	20:00:00	107.966	108.073	107.839	108.054	2585	0	3
2020.01.03	21:00:00	108.050	108.089	108.010	108.010	2054	0	3
2020.01.03	22:00:00	108.012	108.118	108.010	108.091	1454	0	4
2020.01.03	23:00:00	108.091	108.122	108.085	108.101	631	0	4
2020.01.06	00:00:00	107.884	107.935	107.801	107.803	1239	0	3
2020.01.06	01:00:00	107.803	107.978	107.769	107.968	3516	0	3
2020.01.06	02:00:00	107.968	108.120	107.946	108.065	3893	0	3
2020.01.06	03:00:00	108.065	108.081	107.914	107.945	2468	0	3
2020.01.06	04:00:00	107.945	108.054	107.928	108.029	1822	0	3
2020.01.06	05:00:00	108.029	108.074	108.007	108.054	1255	0	4
2020.01.06	06:00:00	108.054	108.103	108.032	108.061	1329	0	4
2020.01.06	07:00:00	108.061	108.070	108.032	108.057	1008	0	3
2020.01.06	08:00:00	108.057	108.070	107.970	108.050	1701	0	3
2020.01.06	09:00:00	108.050	108.175	108.025	108.101	2230	0	3
2020.01.06	10:00:00	108.100	108.133	107.949	107.973	3107	0	3
2020.01.06	11:00:00	107.975	108.035	107.924	107.983	2297	0	3
2020.01.06	12:00:00	107.983	108.034	107.979	107.998	1666	0	3
2020.01.06	13:00:00	107.998	108.080	107.987	108.058	1373	0	3
2020.01.06	14:00:00	108.060	108.161	108.040	108.157	1378	0	3
2020.01.06	15:00:00	108.157	108.161	108.073	108.119	1531	0	3
2020.01.06	16:00:00	108.118	108.151	108.065	108.138	2511	0	3
2020.01.06	17:00:00	108.139	108.363	108.105	108.319	3174	0	3
2020.01.06	18:00:00	108.319	108.413	108.290	108.369	2082	0	3
2020.01.06	19:00:00	108.369	108.398	108.345	108.349	1092	0	3
2020.01.06	20:00:00	108.349	108.394	108.340	108.366	1142	0	3
2020.01.06	21:00:00	108.366	108.504	108.352	108.453	1221	0	3
2020.01.06	22:00:00	108.453	108.460	108.417	108.436	1095	0	3
2020.01.06	23:00:00	108.436	108.445	108.365	108.365	638	0	3
2020.01.07	00:00:00	108.362	108.376	108.286	108.369	878	0	5
2020.01.07	01:00:00	108.370	108.419	108.363	108.411	1199	0	3
2020.01.07	02:00:00	108.411	108.453	108.375	108.425	2105	0	3
2020.01.07	03:00:00	108.425	108.460	108.374	108.432	1870	0	3
2020.01.07	04:00:00	108.432	108.481	108.420	108.472	1471	0	3
2020.01.07	05:00:00	108.472	108.495	108.443	108.470	1117	0	3
2020.01.07	06:00:00	108.470	108.503	108.459	108.496	1013	0	3
2020.01.07	07:00:00	108.496	108.505	108.431	108.432	1123	0	3
2020.01.07	08:00:00	108.434	108.451	108.338	108.442	2462	0	3
2020.01.07	09:00:00	108.445	108.445	108.259	108.315	2736	0	3
2020.01.07	10:00:00	108.316	108.499	108.308	108.452	3285	0	3
2020.01.07	11:00:00	108.451	108.482	108.412	108.465	1762	0	3
2020.01.07	12:00:00	108.465	108.484	108.368	108.413	2161	0	3
2020.01.07	13:00:00	108.413	108.424	108.375	108.395	1375	0	3
